SteamAppID,numReviews,AuthorSteamID,NumGamesOwned,NumReviews,PlaytimeForever,PlaytimeLastTwoWeeks,PlaytimeAtReview,LastPlayed,Language,ReviewText,TimestampCreated,VotedUp,VotesUp,VotesFunny,CommentCount,SteamPurchase,ReceivedForFree,WrittenDuringEarlyAccess
15740,3,76561198275469876,435,197,952,0,952,1662865846,latam,"Con esta tercera entrega al fin se encaminaron a hacer un juego decente.
El salto al 3D es lo mejor sin duda, permitiendo una libertad y un gameplay más satisfactorio que sus antecesores. No hace falta la perfección milimétrica.
Los gráficos están bien para la época, siguiendo el estilo artístico característico de la saga. Con efectos como las nubes produciendo sombra sobre el terreno. Una evolución en cuanto a lo que veníamos viendo.
Presentándonos al mejor personaje hasta el momento: Munch. Su historia y origen son muy interesantes.
El tener dos personajes permite cierto dinamismo en algunos niveles, precisando la cooperación y sincronía entre ambos.
Y el venir adaptado para mandos es algo que muchos juegos de su momento no hacían. Así que es otro punto a favor.
Aunque no es un juego perfecto. Hay fallos en la cámara y el control algunas veces. Y hay algún que otro nivel mal diseñado.
Sin embargo, no es suficiente para opacar a este gran videojuego.
Una recomendación alta sin dudas.",1662866453,true,2,0,0,true,false,false
15740,3,76561198262898814,89,22,1471,0,1471,1646113789,latam,"Es excepcionalmente bueno. Aunque debo decir que la jugabilidad es algo primitiva para este tiempo, pero no imposible, se tiene que dedicar un tiempo a aprender los controles en PC, y una vez lo consigues, se disfruta mucho.
Ahora debo decir que el mensaje es muy bueno, una crítica a la voracidad industrial. La forma en la que representan a los empresarios es bastante cómica. Digamos que tiene un humor negro.",1646114152,true,0,0,0,true,false,false
15740,3,76561198293673355,0,3,481,0,170,1653500720,latam,buenisimo juego clasico del XBOX. gracias por agregar español ya hacia falta para los que no sabemos mucho ingles. genial,1568845849,true,0,0,0,true,false,false
15710,1,76561198100464696,228,7,2426,0,2426,1656830561,latam,Este juego se merece un remake como hicieron con el primero.,1669439430,true,0,0,0,true,false,false
15700,6,76561198071705960,0,55,895,0,671,1670615160,latam,♥ Un clásico de los años 90 que no debes dejar de pasar. ♥,1631208161,true,1,0,0,true,false,false
15700,6,76561198114756554,0,37,280,0,215,1592497437,latam,"Un clásico. El arte es hermosa y el mundo se siente muy vivo. No soy muy adepto a los juegos de puzzles, pero me impresiona saber de lo que me perdía.",1592445523,true,0,0,0,true,false,false
15700,6,76561199040698647,0,3,1219,0,1197,1590974129,latam,"Lo jugué por primera vez hace 20 años, de hecho fue mi primer juego para PC, ya corría con windows 98. Después lo tuve para Play 1 y nuevamente ahora en Steam. Nunca lo había podido completar porque requiere una paciencia de acero inoxidable y total, con jugarlo tenes que ser consciente de que vas a hacer las mismas pantallas como 50 veces, sin exagerar. De más chico nunca tuve la paciencia suficiente para terminarlo, siempre lo dejaba a la mitad, pero ahora más grande, me lo propuse a terminar y lo logré. No es un juego para personas ansiosas. Es viejito (1997), pero por el precio casi regalado se justifica la compra. Si te gusta sufrir y hacer muchas veces los objetivos, te lo recomiendo.",1590904432,true,0,0,0,true,false,false
15700,6,76561198171715402,0,5,234,0,219,1594421250,latam,Divertido,1577395061,true,0,0,0,true,false,false
15700,6,76561198237713316,75,48,184,0,183,1672949142,latam,"loco era mi infancia, que buen juego a ver si estra vez si lo paso , no dudes en comprarlo",1540873027,true,0,0,0,true,false,false
15700,6,76561198072067301,180,8,1331,0,819,1467080148,latam,Un buen juego clásico de ps1 y en steam!!!,1443136102,true,0,0,0,true,false,false
